delay,condition,textbox.text,,,,,,,,,,
0.1,exp,123,,,,,,,,,,
0.1,exp,67,,,,,,,,,,
0.1,exp,890,,,exp100,exp400,exp700,,unexp100,unexp400,unexp700,
0.7,exp,899,,,,,,,,,,
0.7,exp,679,,,,,,,,,,
0.7,exp,111,,,,,,,,,,
0.7,exp,789,,,,,,,,,,
0.7,exp,569,,,,,,,,,,
0.7,exp,399,,,,,,,,,,
0.7,exp,325,,,,,,,,,,
0.7,exp,789,,,,,,,,,,
0.7,exp,532,,,,,,,,,,
0.7,exp,897,,,,,,,,,,
0.7,exp,657,,,,,,,,,,
0.7,exp,112,,,,,,,,,,
0.7,exp,568,,,,,,,,,,
0.7,exp,221,,,,,,,,,,
0.7,exp,786,,,,,,,,,,
0.7,exp,768,,,,,,,,,,
0.7,exp,683,,,,,,,,,,
0.7,exp,321,,,,,,,,,,
0.7,exp,687,,,,,,,,,,
0.7,exp,123,,,,,,,,,,
0.7,exp,785,,,,,,,,,,
0.7,exp,932,,,,,,,,,,
0.7,exp,678,,,,,,,,,,
0.7,exp,382,,,,,,,,,,
0.7,exp,548,,,,,,,,,,
0.7,exp,539,,,,,,,,,,
0.7,exp,675,,,,,,,,,,
0.7,exp,234,,,,,,,,,,
0.7,exp,568,,,,,,,,,,
0.7,exp,786,,,,,,,,,,
0.7,exp,678,,,,,,,,,,
0.7,exp,658,,,,,,,,,,
0.7,exp,438,,,,,,,,,,
0.7,exp,789,,,,,,,,,,
0.7,exp,447,,,,,,,,,,
0.7,exp,332,,,,,,,,,,
0.7,exp,123,,,,,,,,,,
0.7,exp,54,,,,,,,,,,
0.7,exp,123,,,,,,,,,,
0.7,exp,567,,,,,,,,,,
0.7,exp,345,,,,,,,,,,
0.7,exp,78,,,,,,,,,,
0.7,exp,675,,,,,,,,,,
0.7,exp,569,,,,,,,,,,
0.7,exp,457,,,,,,,,,,
0.7,exp,689,,,,,,,,,,
0.7,exp,876,,,,,,,,,,
0.7,exp,546,,,,,,,,,,
0.7,exp,568,,,,,,,,,,
0.7,exp,908,,,,,,,,,,
0.7,exp,437,,,,,,,,,,
0.7,exp,863,,,,,,,,,,
0.7,exp,290,,,,,,,,,,
0.7,exp,768,,,,,,,,,,
0.7,exp,683,,,,,,,,,,
0.7,exp,679,,,,,,,,,,
0.7,exp,543,,,,,,,,,,
0.1,unexp,23,,,,,,,,,,
0.1,unexp,1,,,,,,,,,,
0.1,unexp,890,,,,,,,,,,
0.1,unexp,654,,,,,,,,,,
0.1,unexp,321,,,,,,,,,,
0.1,unexp,567,,,,,,,,,,
0.1,unexp,875,,,,,,,,,,
0.1,unexp,789,,,,,,,,,,
0.1,unexp,888,,,,,,,,,,
0.1,unexp,670,,,,,,,,,,
0.1,unexp,770,,,,,,,,,,
0.1,unexp,123,,,,,,,,,,
0.1,unexp,449,,,,,,,,,,
0.1,unexp,789,,,,,,,,,,
0.1,unexp,773,,,,,,,,,,
0.1,unexp,455,,,,,,,,,,
0.1,unexp,679,,,,,,,,,,
0.1,unexp,567,,,,,,,,,,
0.1,unexp,754,,,,,,,,,,
0.1,unexp,567,,,,,,,,,,
0.1,unexp,678,,,,,,,,,,
0.1,unexp,786,,,,,,,,,,
0.1,unexp,657,,,,,,,,,,
0.1,unexp,778,,,,,,,,,,
0.1,unexp,567,,,,,,,,,,
0.1,unexp,334,,,,,,,,,,
0.1,unexp,236,,,,,,,,,,
0.1,unexp,332,,,,,,,,,,
0.1,unexp,675,,,,,,,,,,
0.1,unexp,698,,,,,,,,,,
0.1,unexp,675,,,,,,,,,,
0.1,unexp,674,,,,,,,,,,
0.1,unexp,786,,,,,,,,,,
0.4,unexp,11,,,,,,,,,,
0.4,unexp,567,,,,,,,,,,
0.4,unexp,11,,,,,,,,,,
0.4,unexp,789,,,,,,,,,,
0.4,unexp,345,,,,,,,,,,
0.4,unexp,890,,,,,,,,,,
0.4,unexp,532,,,,,,,,,,
0.4,unexp,328,,,,,,,,,,
0.4,unexp,888,,,,,,,,,,
0.4,unexp,55,,,,,,,,,,
0.4,unexp,607,,,,,,,,,,
0.4,unexp,560,,,,,,,,,,
0.4,unexp,766,,,,,,,,,,
0.4,unexp,679,,,,,,,,,,
0.4,unexp,234,,,,,,,,,,
0.4,unexp,325,,,,,,,,,,
0.4,unexp,211,,,,,,,,,,
0.4,unexp,345,,,,,,,,,,
0.4,unexp,897,,,,,,,,,,
0.4,unexp,111,,,,,,,,,,
0.4,unexp,456,,,,,,,,,,
0.4,unexp,654,,,,,,,,,,
0.4,unexp,567,,,,,,,,,,
0.4,unexp,664,,,,,,,,,,
0.4,unexp,678,,,,,,,,,,
0.4,unexp,684,,,,,,,,,,
0.4,unexp,234,,,,,,,,,,
0.4,unexp,674,,,,,,,,,,
0.4,unexp,120,,,,,,,,,,
0.4,unexp,237,,,,,,,,,,
0.4,unexp,798,,,,,,,,,,
0.4,unexp,679,,,,,,,,,,
0.4,unexp,459,,,,,,,,,,
0.7,unexp,789,,,,,,,,,,
